country,iso3,reporter_code,year,import_bin,total_imports_in_bin,active_products,product_gini,top_1_product_share,top_5_product_share,top_10_product_share
Australia,AUS,36,1988,capital_goods,6500002649.0,577,0.7722478170558758,0.06300905062908076,0.24871342787048148,0.39388838855225516
Australia,AUS,36,1988,energy,672779713.0,20,0.9390536770688862,0.9649348047449225,0.9914487180739352,0.9990405551958134
Australia,AUS,36,1988,final_consumption,6990943456.0,1146,0.7993262971104509,0.1335944605872092,0.24374783957628965,0.30675473882705656
Australia,AUS,36,1988,intermediates,15571721990.0,2950,0.7969551653126481,0.0410716890791344,0.10571647246574044,0.1530747150206475
Australia,AUS,36,1988,unmapped_or_ambiguous,2560699147.0,154,0.7573072068929745,0.06826960762056285,0.3071189600392365,0.499266482553329
Australia,AUS,36,1989,capital_goods,8753687074.0,581,0.7974694743882851,0.09944599294457256,0.2823738302619612,0.4200896961375661
Australia,AUS,36,1989,energy,964187205.0,21,0.938074064055602,0.9544319248667068,0.9895460073025963,0.9986496947965618
Australia,AUS,36,1989,final_consumption,8484988064.0,1155,0.8016284453187701,0.14117436736090144,0.2666375932335077,0.32371040257010786
Australia,AUS,36,1989,intermediates,17879414130.0,2955,0.800312068183997,0.04295553905825884,0.10872433575652067,0.1578800161166131
Australia,AUS,36,1989,unmapped_or_ambiguous,3269330076.0,156,0.7832316590665158,0.08715199272525213,0.34393104332118224,0.5539083555049399
Australia,AUS,36,1990,capital_goods,8345373876.0,576,0.7999026683596755,0.14010794188174008,0.3191044917302636,0.44791498446222516
Australia,AUS,36,1990,energy,1079534639.0,23,0.9457014205656942,0.9629047086093547,0.9911917073741994,0.9984286960892971
Australia,AUS,36,1990,final_consumption,8282848386.0,1147,0.7954658546078097,0.13439280910676807,0.24680697638451257,0.3110424085939559
Australia,AUS,36,1990,intermediates,17310515963.0,2938,0.8050589486089597,0.047588166162161896,0.12101777448330585,0.1806958671067776
Australia,AUS,36,1990,unmapped_or_ambiguous,3239023636.0,154,0.7914031774452446,0.10748110082639731,0.37164084776070466,0.5827956428040095
Australia,AUS,36,1991,capital_goods,7802915401.0,574,0.8140415117122302,0.20257022391879703,0.3833630828057724,0.4806338577654406
Australia,AUS,36,1991,energy,1223975589.0,23,0.9490314635749617,0.9712564896586349,0.9932094536241605,0.9990651463883076
Australia,AUS,36,1991,final_consumption,8607418440.0,1137,0.7943223430121813,0.12957149995370737,0.23562179103262,0.31138129622521293
Australia,AUS,36,1991,intermediates,17295091600.0,2927,0.808617509065275,0.053498533595508685,0.1493591761028892,0.20784517637362498
Australia,AUS,36,1991,unmapped_or_ambiguous,3487907263.0,155,0.7972864629642296,0.1464507936947405,0.4116962681986307,0.6013602088135565
Australia,AUS,36,1992,capital_goods,7644422767.0,573,0.8111694235168114,0.11062191375005097,0.31984180670315354,0.456294880505266
Australia,AUS,36,1992,energy,1422650705.0,23,0.9488273917708332,0.9697937864516083,0.9931377294752052,0.9993623986570899
Australia,AUS,36,1992,final_consumption,9479936778.0,1138,0.8008360189125889,0.1450957515024896,0.2577672780129589,0.3248466998373478
Australia,AUS,36,1992,intermediates,18621116284.0,2936,0.8111282933951272,0.05389744200579205,0.157346900707427,0.212916190390082
Australia,AUS,36,1992,unmapped_or_ambiguous,3383124882.0,155,0.7942262604685701,0.166484546283444,0.39262253222374544,0.5899072921068718
Australia,AUS,36,1993,capital_goods,7828632660.0,577,0.7912982944809339,0.07733323956983314,0.26178590834532783,0.36634469026165806
Australia,AUS,36,1993,energy,1682923045.0,22,0.9453059829709456,0.9679251709337666,0.9920687336003531,0.9991343335606887
Australia,AUS,36,1993,final_consumption,9596729398.0,1151,0.8054250240630816,0.14970889627245484,0.2659234562278944,0.330177924331216
Australia,AUS,36,1993,intermediates,19451786702.0,2942,0.8140947931382014,0.054691988982719826,0.14575246785471357,0.2116815905438978
Australia,AUS,36,1993,unmapped_or_ambiguous,3737541140.0,155,0.8053787934751067,0.16436399520140133,0.4212010067667108,0.5988639480233253
Australia,AUS,36,1994,capital_goods,9720747657.0,579,0.784776532568964,0.07220493070762571,0.2678446617349528,0.3883245628006533
Australia,AUS,36,1994,energy,1640345645.0,22,0.9421179505848487,0.9557587394941998,0.9900718198937883,0.9990505811962576
Australia,AUS,36,1994,final_consumption,11260553971.0,1151,0.8090145865977145,0.1509241735687961,0.2746750192721935,0.3385849103711027
Australia,AUS,36,1994,intermediates,22894451260.0,2953,0.8139979540034714,0.05663574091707669,0.15005146762360094,0.20653651102184137
Australia,AUS,36,1994,unmapped_or_ambiguous,4292280157.0,154,0.7882410061799094,0.1061133051292579,0.38142806343383795,0.5689187789891973
Australia,AUS,36,1995,capital_goods,11498022005.0,580,0.7883301087938315,0.06968799552232202,0.25236199337052845,0.37667259178288554
Australia,AUS,36,1995,energy,1964481011.0,22,0.9451444608311084,0.958099970150335,0.99423272358625,0.9995631823391548
Australia,AUS,36,1995,final_consumption,12505401717.0,1138,0.8093221379793978,0.14860244173313988,0.2880734297485823,0.34619208866475154
Australia,AUS,36,1995,intermediates,26076451922.0,2962,0.8174562816747857,0.05343591552132941,0.1462759393574526,0.1975645974157082
Australia,AUS,36,1995,unmapped_or_ambiguous,5266381497.0,153,0.7985535049109358,0.13485309076157115,0.4140484879878424,0.5865055286555896
Australia,AUS,36,1996,capital_goods,12734654346.0,603,0.7918224235368836,0.11792058121088166,0.27932665421086256,0.38572954039721685
Australia,AUS,36,1996,energy,2863045940.0,23,0.9474478647456628,0.9603139581476642,0.9931139564599512,0.9985867774793722
Australia,AUS,36,1996,final_consumption,13930468863.0,1171,0.8066504404212891,0.12093945836056962,0.2711638152419307,0.33771250661170227
Australia,AUS,36,1996,intermediates,27310320836.0,3010,0.8175598933449191,0.05088121788625332,0.13976244394641282,0.18925073963931516
Australia,AUS,36,1996,unmapped_or_ambiguous,4434961772.0,141,0.796022631248521,0.14715878615244127,0.44235596851949593,0.6012734503904085
Australia,AUS,36,1997,capital_goods,12342126794.0,602,0.7895807876941214,0.06339626873549684,0.23108690435642917,0.3473218790852101
Australia,AUS,36,1997,energy,2910386986.0,23,0.9473188360089251,0.9580717273726842,0.9932861461056575,0.9988755546888637
Australia,AUS,36,1997,final_consumption,15036940469.0,1176,0.8149144314652044,0.1479442009221404,0.28566607208797884,0.34999732743837864
Australia,AUS,36,1997,intermediates,27326689853.0,3010,0.8184741474608948,0.05014137403288806,0.15043080823595278,0.2019222285129508
Australia,AUS,36,1997,unmapped_or_ambiguous,4078331207.0,142,0.7995283394453463,0.1604670262868133,0.4299552655238773,0.6048078995561579
Australia,AUS,36,1998,capital_goods,11837566661.0,604,0.7978148616016505,0.05559702233131104,0.22284130907501548,0.3548387129120641
Australia,AUS,36,1998,energy,2184597002.0,24,0.9470454711735126,0.9532567814995107,0.9906999172014793,0.9988576758103598
Australia,AUS,36,1998,final_consumption,15281300423.0,1182,0.8245777226677335,0.14602817183289926,0.29260630477953664,0.36640227984607565
Australia,AUS,36,1998,intermediates,27750667614.0,2987,0.8319594235505459,0.060368487861345764,0.20419950452439592,0.2611252527612794
Australia,AUS,36,1998,unmapped_or_ambiguous,3567796804.0,138,0.7818877330446419,0.1543740395704441,0.3932069411652514,0.5844725819761118
Australia,AUS,36,1999,capital_goods,12811620985.0,600,0.8142349055943185,0.0552528786816901,0.24531949881125834,0.3953050421901784
Australia,AUS,36,1999,energy,3132293874.0,23,0.9483899552939696,0.9646308237807446,0.9938003467167653,0.9991774181786112
Australia,AUS,36,1999,final_consumption,16221238249.0,1177,0.81961713576554,0.16018461174874765,0.29087241710976486,0.3516962231506399
Australia,AUS,36,1999,intermediates,28155202937.0,2953,0.828197724030562,0.04688697378434385,0.1787146536382289,0.24983273353559063
Australia,AUS,36,1999,unmapped_or_ambiguous,4769004710.0,139,0.8114195107789373,0.21987543098903753,0.48740313678574665,0.6368037615127455
Australia,AUS,36,2000,capital_goods,12891762060.0,598,0.8143550526433458,0.05721603971334854,0.24496470872655868,0.40034130788169386
Australia,AUS,36,2000,energy,5773710351.0,23,0.9322084920929135,0.7781958712601168,0.996062306451507,0.9991849790318655
Australia,AUS,36,2000,final_consumption,17922836601.0,1178,0.8226562970159832,0.16566342667177675,0.2895331405136209,0.35589760237194273
Australia,AUS,36,2000,intermediates,30152539684.0,2963,0.8364589772765274,0.052403178589909984,0.18889720755503575,0.25790415959974566
Australia,AUS,36,2000,unmapped_or_ambiguous,4544379594.0,130,0.8219396620609927,0.2650060619033754,0.5494412918975008,0.6657174636102813
Australia,AUS,36,2001,capital_goods,10852133401.0,604,0.798083624531662,0.05055286428283743,0.2165489115516633,0.34143328275512785
Australia,AUS,36,2001,energy,5462056508.0,24,0.9357342925411809,0.7820014201141985,0.9970593552123683,0.9991426527731558
Australia,AUS,36,2001,final_consumption,16940079110.0,1170,0.8218671796083856,0.1974119267852699,0.2967535094940888,0.3624810665952079
Australia,AUS,36,2001,intermediates,27140479599.0,2965,0.8347511227601303,0.05855072100710228,0.16943594151407096,0.2394285193191438
Australia,AUS,36,2001,unmapped_or_ambiguous,3666615457.0,129,0.8022230280106291,0.2283393676862471,0.5174060575068371,0.6373926607270068
Australia,AUS,36,2002,capital_goods,14520199267.0,606,0.8225429445908279,0.13527655880481795,0.29430242150408914,0.41486810244337674
Australia,AUS,36,2002,energy,5222582735.0,27,0.9330802271042327,0.7517046392947186,0.9914785305933502,0.9983745837202137
Australia,AUS,36,2002,final_consumption,19540080496.0,1179,0.8301273231890609,0.19040629038153783,0.3036549457518673,0.36874492597279623
Australia,AUS,36,2002,intermediates,29559564702.0,3018,0.8347151825872454,0.06486138758566622,0.17346468889824587,0.23602136490622805
Australia,AUS,36,2002,unmapped_or_ambiguous,3637426136.0,134,0.7792238643837792,0.21086702886109135,0.43575247324279964,0.5859144431572314
Australia,AUS,36,2003,capital_goods,17226634401.0,605,0.8141747056395918,0.12228682463230968,0.29331519305400044,0.4110376868269151
Australia,AUS,36,2003,energy,6878647564.0,27,0.927739405311153,0.6935529451992724,0.9929359907528473,0.9989140613862681
Australia,AUS,36,2003,final_consumption,24415591028.0,1181,0.8344173391608813,0.1934120416574992,0.318629106380361,0.3879313002965164
Australia,AUS,36,2003,intermediates,35461636624.0,3012,0.8378735142741303,0.07004037837664354,0.17516334273743248,0.23695568529719419
Australia,AUS,36,2003,unmapped_or_ambiguous,4637802538.0,134,0.7846835316883527,0.26580716748919936,0.4668655852117695,0.6012194980604842
